"Row"  "Name"              "Fett" "Eiweiss" "Laktose" "Asche"
  1  Mensch                  3,8      1,0       7,0      0,2
  2  Orang-Utan              3,5      1,5       6,0      0,2
  3  Schimpanse              3,7      1,2       7,0      0,2
  5  Pavian                  5,0      1,6       7,3      0,3
  7  Esel                    1,4      2,0       7,4      0,5
  8  Pferd                   1,9      2,5       6,2      0,5
 13  Kamel                   5,4      3,9       5,1      0,7
 21  Rind                    3,7      3,4       4,8      0,7
 27  Ziege                   4,5      2,9       4,1      0,8
 28  Schaf                   7,4      5,5       4,8      1,0
 29  Hund                   12,9      7,9       3,1      1,2
 30  Wolf                    9,6      9,2       3,4      1,2
 32  Schakal                10,5     10,0       3,0      1,2
 36  Braunbär               22,6      7,9       2,1      1,4
 37  Eisbär                 33,1     10,9       0,3      1,4
 39  Biber                  11,7      8,1       2,6      1,1
 41  Ratte                  10,3      8,4       2,6      1,3
 42  Maus                   13,1      9,0       3,0      1,3
 48  Buckelwal              33,0     12,5       1,1      1,6
 49  Delphin                33,0      6,8       1,1      0,7
 
